text,label
That was utterly revolting. #523078,disgust
I feel sick just thinking about it. #859571,disgust
This is the best day of my life. #194871,joy
I can't sleep because of the fear. #519463,fear
I'm bursting with happiness! #625488,joy
This makes my blood boil. #131988,anger
I'm terrified of what might happen. #781919,fear
What a pleasant surprise! #570987,surprise
This is absolutely infuriating! #145630,anger
That totally caught me off guard. #261469,surprise
Every little sound makes me jump. #720248,fear
What a pleasant surprise! #347406,surprise
It's incredibly disturbing. #562548,disgust
Tears keep falling from my eyes. #287260,sadness
Tears keep falling from my eyes. #34497,sadness
This gives me chills down my spine. #312956,fear
This gives me chills down my spine. #584617,fear
Life is beautiful and I'm enjoying every moment. #782509,joy
Tears keep falling from my eyes. #619593,sadness
Tears keep falling from my eyes. #947546,sadness
Life is beautiful and I'm enjoying every moment. #78607,joy
How could they do this to me? #343896,anger
I feel empty inside. #866993,sadness
I can't believe this happened! #914445,anger
This is so gross I can't handle it. #337235,disgust
"Unbelievable, but true! #347356",surprise
This is so gross I can't handle it. #993307,disgust
It's incredibly disturbing. #367743,disgust
Tears keep falling from my eyes. #844346,sadness
Tears keep falling from my eyes. #153135,sadness
Every little sound makes me jump. #226699,fear
I did not see that coming! #585113,surprise
Nothing seems to matter anymore. #317343,sadness
Life is beautiful and I'm enjoying every moment. #205706,joy
I'm so furious about the situation. #748244,anger
This is so gross I can't handle it. #987463,disgust
This gives me chills down my spine. #770671,fear
What a pleasant surprise! #824645,surprise
This is so gross I can't handle it. #565271,disgust
I'm so furious about the situation. #954785,anger
This gives me chills down my spine. #223468,fear
I’m shocked and amazed! #843776,surprise
My heart aches with sorrow. #147465,sadness
This is the best day of my life. #627534,joy
Tears keep falling from my eyes. #372404,sadness
That was utterly revolting. #870017,disgust
I'm so furious about the situation. #520247,anger
I'm disgusted by what I saw. #802692,disgust
I'm terrified of what might happen. #976515,fear
This is so gross I can't handle it. #633848,disgust
I can't sleep because of the fear. #974579,fear
What a pleasant surprise! #301036,surprise
That was utterly revolting. #747186,disgust
I'm so scared right now. #498792,fear
I can't sleep because of the fear. #706379,fear
I'm disgusted by what I saw. #509317,disgust
I miss the good times we had. #942269,sadness
This is the best day of my life. #593547,joy
Nothing seems to matter anymore. #949996,sadness
I can't stop smiling. #664359,joy
I did not see that coming! #973546,surprise
How could they do this to me? #562808,anger
I feel sick just thinking about it. #144051,disgust
This makes my blood boil. #953720,anger
I'm terrified of what might happen. #336992,fear
Tears keep falling from my eyes. #689305,sadness
I can't sleep because of the fear. #59243,fear
I miss the good times we had. #187525,sadness
I did not see that coming! #554977,surprise
"Unbelievable, but true! #136601",surprise
Nothing seems to matter anymore. #294566,sadness
I'm disgusted by what I saw. #507875,disgust
I'm so thrilled about the news. #798823,joy
This is the best day of my life. #537457,joy
Tears keep falling from my eyes. #755996,sadness
Nothing seems to matter anymore. #334158,sadness
I'm so furious about the situation. #684425,anger
I'm so scared right now. #359736,fear
My heart aches with sorrow. #580455,sadness
This is absolutely infuriating! #700753,anger
My heart aches with sorrow. #137751,sadness
That totally caught me off guard. #736722,surprise
I feel empty inside. #933438,sadness
That totally caught me off guard. #151934,surprise
It's incredibly disturbing. #262797,disgust
I'm so thrilled about the news. #96860,joy
Tears keep falling from my eyes. #36783,sadness
What a pleasant surprise! #564861,surprise
This is the best day of my life. #639367,joy
I'm bursting with happiness! #270273,joy
That totally caught me off guard. #104093,surprise
I'm terrified of what might happen. #451149,fear
Tears keep falling from my eyes. #346744,sadness
This is so gross I can't handle it. #342582,disgust
That was utterly revolting. #431028,disgust
That was utterly revolting. #414438,disgust
I'm disgusted by what I saw. #367552,disgust
What a pleasant surprise! #93628,surprise
I feel empty inside. #356068,sadness
Nothing seems to matter anymore. #975698,sadness
Nothing seems to matter anymore. #161732,sadness
This is absolutely infuriating! #312231,anger
Nothing seems to matter anymore. #670709,sadness
That was utterly revolting. #900314,disgust
I did not see that coming! #160286,surprise
It's incredibly disturbing. #697946,disgust
Every little sound makes me jump. #189766,fear
I feel empty inside. #668307,sadness
This gives me chills down my spine. #350891,fear
I miss the good times we had. #962523,sadness
I'm bursting with happiness! #337758,joy
I feel empty inside. #199051,sadness
Tears keep falling from my eyes. #821979,sadness
I can't stop smiling. #870559,joy
I feel empty inside. #553217,sadness
I feel empty inside. #110969,sadness
I feel sick just thinking about it. #391626,disgust
Tears keep falling from my eyes. #812670,sadness
I'm bursting with happiness! #548471,joy
That totally caught me off guard. #98251,surprise
I can't believe this happened! #848216,anger
Life is beautiful and I'm enjoying every moment. #355904,joy
Tears keep falling from my eyes. #527768,sadness
I feel empty inside. #540453,sadness
This gives me chills down my spine. #243890,fear
Life is beautiful and I'm enjoying every moment. #544317,joy
This gives me chills down my spine. #579683,fear
I can't stop smiling. #231695,joy
That totally caught me off guard. #112415,surprise
This is so gross I can't handle it. #939538,disgust
"Unbelievable, but true! #900113",surprise
How could they do this to me? #778678,anger
This is so gross I can't handle it. #126077,disgust
I can't believe this happened! #188311,anger
I'm bursting with happiness! #104514,joy
I'm disgusted by what I saw. #384348,disgust
I did not see that coming! #366300,surprise
This is absolutely infuriating! #632287,anger
How could they do this to me? #697371,anger
My heart aches with sorrow. #714495,sadness
This is absolutely infuriating! #286997,anger
This makes my blood boil. #310640,anger
That was utterly revolting. #803608,disgust
Tears keep falling from my eyes. #539961,sadness
I'm bursting with happiness! #359764,joy
I can't believe this happened! #291138,anger
I'm so furious about the situation. #638633,anger
"Unbelievable, but true! #604009",surprise
This is absolutely infuriating! #950050,anger
I can't believe this happened! #829617,anger
What a pleasant surprise! #91527,surprise
That was utterly revolting. #113619,disgust
I'm bursting with happiness! #998033,joy
I’m shocked and amazed! #644399,surprise
I miss the good times we had. #235580,sadness
I can't believe this happened! #571665,anger
I can't stop smiling. #882202,joy
I'm disgusted by what I saw. #786804,disgust
I miss the good times we had. #422621,sadness
This gives me chills down my spine. #972795,fear
This is so gross I can't handle it. #583900,disgust
How could they do this to me? #702679,anger
I’m shocked and amazed! #403685,surprise
I miss the good times we had. #669128,sadness
This is so gross I can't handle it. #305357,disgust
I'm so thrilled about the news. #447894,joy
That totally caught me off guard. #775848,surprise
This gives me chills down my spine. #898514,fear
That was utterly revolting. #978355,disgust
It's incredibly disturbing. #193617,disgust
I can't sleep because of the fear. #204984,fear
Life is beautiful and I'm enjoying every moment. #765124,joy
I'm so scared right now. #156634,fear
I feel empty inside. #748374,sadness
That totally caught me off guard. #880278,surprise
I’m shocked and amazed! #237142,surprise
This gives me chills down my spine. #984290,fear
I did not see that coming! #554013,surprise
I'm so scared right now. #721869,fear
Every little sound makes me jump. #388685,fear
How could they do this to me? #188789,anger
"Unbelievable, but true! #487273",surprise
I'm so scared right now. #650936,fear
It's incredibly disturbing. #705098,disgust
That totally caught me off guard. #980219,surprise
I'm so thrilled about the news. #744397,joy
Life is beautiful and I'm enjoying every moment. #583132,joy
How could they do this to me? #235539,anger
I'm so furious about the situation. #376697,anger
This is the best day of my life. #516916,joy
I'm bursting with happiness! #352412,joy
I'm bursting with happiness! #194989,joy
I feel empty inside. #456469,sadness
Nothing seems to matter anymore. #758759,sadness
I feel empty inside. #88604,sadness
I can't believe this happened! #198021,anger
I'm so scared right now. #320230,fear
I'm so scared right now. #102216,fear
I can't believe this happened! #92017,anger
It's incredibly disturbing. #651156,disgust
I feel sick just thinking about it. #245494,disgust
Nothing seems to matter anymore. #238891,sadness
I'm so furious about the situation. #511978,anger
I'm disgusted by what I saw. #569200,disgust
I'm bursting with happiness! #628708,joy
I miss the good times we had. #979928,sadness
I feel sick just thinking about it. #916910,disgust
I feel empty inside. #830621,sadness
I'm terrified of what might happen. #382821,fear
"Unbelievable, but true! #837944",surprise
What a pleasant surprise! #790246,surprise
I can't stop smiling. #413668,joy
That totally caught me off guard. #160616,surprise
This is absolutely infuriating! #21163,anger
I'm so furious about the situation. #335435,anger
I feel sick just thinking about it. #487735,disgust
I did not see that coming! #753428,surprise
I can't sleep because of the fear. #902375,fear
I feel empty inside. #16062,sadness
That was utterly revolting. #861764,disgust
I'm so thrilled about the news. #240690,joy
I miss the good times we had. #722459,sadness
This is the best day of my life. #936645,joy
I'm so scared right now. #948916,fear
How could they do this to me? #147925,anger
What a pleasant surprise! #961545,surprise
Life is beautiful and I'm enjoying every moment. #624599,joy
It's incredibly disturbing. #203079,disgust
I did not see that coming! #642092,surprise
I can't believe this happened! #692470,anger
That was utterly revolting. #808521,disgust
I'm so furious about the situation. #504712,anger
I'm so furious about the situation. #22916,anger
This gives me chills down my spine. #13273,fear
I can't stop smiling. #186792,joy
I feel empty inside. #832124,sadness
Life is beautiful and I'm enjoying every moment. #91764,joy
I miss the good times we had. #166050,sadness
I’m shocked and amazed! #210239,surprise
My heart aches with sorrow. #210445,sadness
What a pleasant surprise! #161352,surprise
It's incredibly disturbing. #459142,disgust
I can't believe this happened! #626222,anger
I can't sleep because of the fear. #167510,fear
I'm so scared right now. #458598,fear
Life is beautiful and I'm enjoying every moment. #395514,joy
This is absolutely infuriating! #419811,anger
I can't sleep because of the fear. #954076,fear
I did not see that coming! #387580,surprise
Tears keep falling from my eyes. #337966,sadness
I'm terrified of what might happen. #63573,fear
What a pleasant surprise! #533612,surprise
"Unbelievable, but true! #32880",surprise
This makes my blood boil. #601508,anger
That was utterly revolting. #176593,disgust
This gives me chills down my spine. #552142,fear
That totally caught me off guard. #246969,surprise
This makes my blood boil. #581373,anger
Every little sound makes me jump. #229151,fear
That totally caught me off guard. #333486,surprise
I did not see that coming! #343866,surprise
I can't stop smiling. #838165,joy
I'm terrified of what might happen. #753998,fear
Life is beautiful and I'm enjoying every moment. #833994,joy
That totally caught me off guard. #89721,surprise
My heart aches with sorrow. #586463,sadness
I'm terrified of what might happen. #215301,fear
I can't stop smiling. #133218,joy
"Unbelievable, but true! #978745",surprise
Tears keep falling from my eyes. #703669,sadness
Nothing seems to matter anymore. #706749,sadness
I feel sick just thinking about it. #548562,disgust
What a pleasant surprise! #894333,surprise
I can't believe this happened! #708007,anger
I did not see that coming! #513269,surprise
I’m shocked and amazed! #992661,surprise
My heart aches with sorrow. #249270,sadness
I feel empty inside. #95395,sadness
How could they do this to me? #758749,anger
I'm bursting with happiness! #913275,joy
I miss the good times we had. #378014,sadness
I'm so scared right now. #13910,fear
Every little sound makes me jump. #143315,fear
My heart aches with sorrow. #945884,sadness
I feel empty inside. #271726,sadness
I can't stop smiling. #97605,joy
This makes my blood boil. #325700,anger
Every little sound makes me jump. #828714,fear
I can't believe this happened! #633222,anger
I’m shocked and amazed! #366297,surprise
I feel sick just thinking about it. #889283,disgust
I'm disgusted by what I saw. #547754,disgust
I feel empty inside. #588500,sadness
That was utterly revolting. #72080,disgust
I'm terrified of what might happen. #434506,fear
How could they do this to me? #431239,anger
I did not see that coming! #62851,surprise
That totally caught me off guard. #316188,surprise
I'm bursting with happiness! #199799,joy
That totally caught me off guard. #699528,surprise
I’m shocked and amazed! #919433,surprise
How could they do this to me? #730884,anger
I'm terrified of what might happen. #850667,fear
What a pleasant surprise! #224524,surprise
This is so gross I can't handle it. #514806,disgust
It's incredibly disturbing. #124046,disgust
My heart aches with sorrow. #493319,sadness
How could they do this to me? #373376,anger
I’m shocked and amazed! #998964,surprise
This is absolutely infuriating! #798925,anger
What a pleasant surprise! #607387,surprise
I feel sick just thinking about it. #564871,disgust
This is absolutely infuriating! #57160,anger
I can't believe this happened! #521728,anger
What a pleasant surprise! #202137,surprise
It's incredibly disturbing. #937609,disgust
It's incredibly disturbing. #713378,disgust
It's incredibly disturbing. #528673,disgust
I'm bursting with happiness! #973811,joy
I did not see that coming! #364384,surprise
I'm bursting with happiness! #57435,joy
This gives me chills down my spine. #589804,fear
That totally caught me off guard. #162386,surprise
It's incredibly disturbing. #108531,disgust
My heart aches with sorrow. #666293,sadness
I'm so scared right now. #526018,fear
I can't believe this happened! #743987,anger
I’m shocked and amazed! #963276,surprise
I'm terrified of what might happen. #790706,fear
It's incredibly disturbing. #628385,disgust
This gives me chills down my spine. #673647,fear
I can't stop smiling. #243012,joy
I can't stop smiling. #654521,joy
My heart aches with sorrow. #420790,sadness
I miss the good times we had. #222652,sadness
I did not see that coming! #419937,surprise
Nothing seems to matter anymore. #795477,sadness
I'm terrified of what might happen. #96588,fear
This gives me chills down my spine. #58107,fear
Nothing seems to matter anymore. #591754,sadness
I can't stop smiling. #407163,joy
How could they do this to me? #63030,anger
I feel empty inside. #247483,sadness
I feel sick just thinking about it. #868223,disgust
I'm terrified of what might happen. #963083,fear
This is absolutely infuriating! #77193,anger
This makes my blood boil. #192287,anger
This is absolutely infuriating! #523479,anger
I’m shocked and amazed! #488007,surprise
This is so gross I can't handle it. #837739,disgust
My heart aches with sorrow. #337041,sadness
Tears keep falling from my eyes. #323711,sadness
I feel sick just thinking about it. #653722,disgust
This is so gross I can't handle it. #538947,disgust
Nothing seems to matter anymore. #914737,sadness
Nothing seems to matter anymore. #961930,sadness
I can't stop smiling. #165588,joy
I'm so scared right now. #20073,fear
This is absolutely infuriating! #761525,anger
Life is beautiful and I'm enjoying every moment. #151313,joy
This is the best day of my life. #407588,joy
I did not see that coming! #671460,surprise
I'm terrified of what might happen. #186990,fear
Tears keep falling from my eyes. #365140,sadness
I can't believe this happened! #54932,anger
This gives me chills down my spine. #573989,fear
"Unbelievable, but true! #63469",surprise
I’m shocked and amazed! #255960,surprise
I'm so thrilled about the news. #879587,joy
Nothing seems to matter anymore. #537603,sadness
I did not see that coming! #281576,surprise
I did not see that coming! #551813,surprise
I feel sick just thinking about it. #723597,disgust
I'm so furious about the situation. #419613,anger
That totally caught me off guard. #378210,surprise
I can't stop smiling. #146213,joy
My heart aches with sorrow. #288942,sadness
I'm so furious about the situation. #769887,anger
This is so gross I can't handle it. #871835,disgust
Tears keep falling from my eyes. #213966,sadness
This is the best day of my life. #814430,joy
Every little sound makes me jump. #344746,fear
This gives me chills down my spine. #829763,fear
That was utterly revolting. #634569,disgust
That was utterly revolting. #315990,disgust
"Unbelievable, but true! #424604",surprise
That was utterly revolting. #769725,disgust
This is absolutely infuriating! #192504,anger
Nothing seems to matter anymore. #594396,sadness
That totally caught me off guard. #638309,surprise
This is the best day of my life. #277735,joy
"Unbelievable, but true! #200967",surprise
Tears keep falling from my eyes. #243859,sadness
This gives me chills down my spine. #150960,fear
This gives me chills down my spine. #881701,fear
I'm disgusted by what I saw. #930327,disgust
This is absolutely infuriating! #355603,anger
"Unbelievable, but true! #856521",surprise
That totally caught me off guard. #503143,surprise
I'm bursting with happiness! #699762,joy
This gives me chills down my spine. #300397,fear
I can't sleep because of the fear. #931294,fear
This is so gross I can't handle it. #325899,disgust
I'm disgusted by what I saw. #492048,disgust
I can't believe this happened! #418878,anger
I'm so scared right now. #570956,fear
How could they do this to me? #339430,anger
I feel sick just thinking about it. #316087,disgust
I'm bursting with happiness! #549551,joy
I can't stop smiling. #530542,joy
This gives me chills down my spine. #64911,fear
I feel sick just thinking about it. #499460,disgust
That was utterly revolting. #942368,disgust
I miss the good times we had. #411627,sadness
I did not see that coming! #520814,surprise
I'm terrified of what might happen. #970707,fear
"Unbelievable, but true! #467285",surprise
It's incredibly disturbing. #840048,disgust
How could they do this to me? #160882,anger
I can't believe this happened! #510292,anger
I can't sleep because of the fear. #322804,fear
Life is beautiful and I'm enjoying every moment. #189133,joy
Nothing seems to matter anymore. #599147,sadness
Tears keep falling from my eyes. #489729,sadness
It's incredibly disturbing. #127190,disgust
This gives me chills down my spine. #152009,fear
I miss the good times we had. #978749,sadness
Tears keep falling from my eyes. #721710,sadness
What a pleasant surprise! #356914,surprise
"Unbelievable, but true! #93195",surprise
This makes my blood boil. #941861,anger
I'm bursting with happiness! #552638,joy
This is the best day of my life. #618299,joy
Life is beautiful and I'm enjoying every moment. #461582,joy
I miss the good times we had. #668847,sadness
This makes my blood boil. #790482,anger
My heart aches with sorrow. #899052,sadness
That was utterly revolting. #458678,disgust
What a pleasant surprise! #97481,surprise
That totally caught me off guard. #716446,surprise
It's incredibly disturbing. #149852,disgust
I'm disgusted by what I saw. #135781,disgust
I'm so furious about the situation. #89793,anger
I can't sleep because of the fear. #718084,fear
I did not see that coming! #158061,surprise
I feel sick just thinking about it. #734156,disgust
I can't believe this happened! #7823,anger
This is the best day of my life. #948405,joy
I can't sleep because of the fear. #500131,fear
My heart aches with sorrow. #81513,sadness
I miss the good times we had. #760694,sadness
I feel empty inside. #982679,sadness
"Unbelievable, but true! #51395",surprise
I can't sleep because of the fear. #189600,fear
How could they do this to me? #860925,anger
It's incredibly disturbing. #416917,disgust
I can't stop smiling. #196282,joy
Tears keep falling from my eyes. #241874,sadness
It's incredibly disturbing. #496474,disgust
My heart aches with sorrow. #254022,sadness
How could they do this to me? #4343,anger
This makes my blood boil. #327721,anger
That totally caught me off guard. #263745,surprise
I can't believe this happened! #708174,anger
I'm so furious about the situation. #908456,anger
I did not see that coming! #152829,surprise
I did not see that coming! #320738,surprise
How could they do this to me? #514349,anger
Nothing seems to matter anymore. #214705,sadness
It's incredibly disturbing. #197366,disgust
I can't stop smiling. #674227,joy
Tears keep falling from my eyes. #822626,sadness
Life is beautiful and I'm enjoying every moment. #981354,joy
This is absolutely infuriating! #80422,anger
This gives me chills down my spine. #39906,fear
I feel empty inside. #700749,sadness
I miss the good times we had. #437432,sadness
That was utterly revolting. #896889,disgust
I'm terrified of what might happen. #16472,fear
I feel sick just thinking about it. #412238,disgust
I'm bursting with happiness! #488330,joy
What a pleasant surprise! #482464,surprise
I miss the good times we had. #466186,sadness
I’m shocked and amazed! #703924,surprise
Life is beautiful and I'm enjoying every moment. #860321,joy
This gives me chills down my spine. #980023,fear
This gives me chills down my spine. #481612,fear
I'm so thrilled about the news. #55598,joy
That was utterly revolting. #19680,disgust
I feel empty inside. #475753,sadness
I’m shocked and amazed! #759200,surprise
What a pleasant surprise! #207618,surprise
I'm disgusted by what I saw. #918070,disgust
That totally caught me off guard. #202183,surprise
I can't stop smiling. #61240,joy
This is so gross I can't handle it. #757294,disgust
Nothing seems to matter anymore. #101812,sadness
I can't stop smiling. #124252,joy
I feel empty inside. #331286,sadness
I can't stop smiling. #387910,joy
It's incredibly disturbing. #807366,disgust
That totally caught me off guard. #128854,surprise
"Unbelievable, but true! #513531",surprise
It's incredibly disturbing. #393099,disgust
That was utterly revolting. #712347,disgust
I feel empty inside. #325051,sadness
This gives me chills down my spine. #34231,fear
It's incredibly disturbing. #127667,disgust
Every little sound makes me jump. #606210,fear
Tears keep falling from my eyes. #670331,sadness
I’m shocked and amazed! #663485,surprise
I feel sick just thinking about it. #627244,disgust
I can't believe this happened! #619289,anger
I feel empty inside. #917875,sadness
This makes my blood boil. #454735,anger
Tears keep falling from my eyes. #830529,sadness
I'm so thrilled about the news. #723425,joy
This is so gross I can't handle it. #699018,disgust
This gives me chills down my spine. #579947,fear
I can't believe this happened! #435599,anger
I'm so scared right now. #619094,fear
This is so gross I can't handle it. #530024,disgust
I’m shocked and amazed! #622484,surprise
That totally caught me off guard. #515059,surprise
This is so gross I can't handle it. #542018,disgust
This is so gross I can't handle it. #653019,disgust
I feel sick just thinking about it. #449543,disgust
I did not see that coming! #914796,surprise
I can't stop smiling. #88490,joy
This gives me chills down my spine. #313005,fear
This makes my blood boil. #599874,anger
What a pleasant surprise! #203737,surprise
"Unbelievable, but true! #185196",surprise
This makes my blood boil. #705972,anger
"Unbelievable, but true! #520853",surprise
I feel empty inside. #74803,sadness
That was utterly revolting. #124461,disgust
Nothing seems to matter anymore. #89117,sadness
I’m shocked and amazed! #313103,surprise
I can't stop smiling. #356348,joy
I’m shocked and amazed! #161678,surprise
I'm disgusted by what I saw. #890670,disgust
I'm bursting with happiness! #780722,joy
That was utterly revolting. #505859,disgust
This gives me chills down my spine. #739323,fear
I did not see that coming! #989268,surprise
I feel empty inside. #385034,sadness
I feel empty inside. #171690,sadness
This is so gross I can't handle it. #884316,disgust
That was utterly revolting. #451226,disgust
I'm disgusted by what I saw. #119204,disgust
I'm so scared right now. #40670,fear
Nothing seems to matter anymore. #962796,sadness
I'm so thrilled about the news. #675194,joy
I'm so scared right now. #627665,fear
I'm disgusted by what I saw. #13121,disgust
I'm bursting with happiness! #994584,joy
I'm so scared right now. #836003,fear
This is the best day of my life. #623226,joy
I'm bursting with happiness! #29375,joy
This gives me chills down my spine. #311802,fear
I'm bursting with happiness! #668463,joy
Life is beautiful and I'm enjoying every moment. #501025,joy
How could they do this to me? #977787,anger
This is the best day of my life. #390077,joy
This is so gross I can't handle it. #74689,disgust
I'm so scared right now. #882345,fear
Tears keep falling from my eyes. #797603,sadness
This is so gross I can't handle it. #174355,disgust
I can't believe this happened! #331290,anger
How could they do this to me? #28856,anger
I’m shocked and amazed! #240656,surprise
This is the best day of my life. #183207,joy
"Unbelievable, but true! #15282",surprise
I miss the good times we had. #904177,sadness
Life is beautiful and I'm enjoying every moment. #785800,joy
I'm terrified of what might happen. #755369,fear
I feel empty inside. #737495,sadness
This gives me chills down my spine. #410716,fear
This is the best day of my life. #228124,joy
This is so gross I can't handle it. #475774,disgust
Tears keep falling from my eyes. #895871,sadness
I miss the good times we had. #449588,sadness
This is so gross I can't handle it. #321454,disgust
My heart aches with sorrow. #605716,sadness
I can't stop smiling. #140649,joy
That totally caught me off guard. #648418,surprise
This is so gross I can't handle it. #761387,disgust
This is so gross I can't handle it. #939949,disgust
Tears keep falling from my eyes. #411594,sadness
This is the best day of my life. #395593,joy
This is the best day of my life. #796176,joy
I'm so scared right now. #471210,fear
I'm terrified of what might happen. #834514,fear
I'm disgusted by what I saw. #548509,disgust
What a pleasant surprise! #929081,surprise
I can't sleep because of the fear. #633709,fear
I miss the good times we had. #121584,sadness
This makes my blood boil. #618482,anger
I'm disgusted by what I saw. #785567,disgust
I'm so furious about the situation. #445866,anger
I'm so scared right now. #490948,fear
This makes my blood boil. #887646,anger
I did not see that coming! #689059,surprise
"Unbelievable, but true! #474540",surprise
This gives me chills down my spine. #388727,fear
This is so gross I can't handle it. #534214,disgust
I'm so thrilled about the news. #914022,joy
That totally caught me off guard. #555203,surprise
My heart aches with sorrow. #336826,sadness
This is absolutely infuriating! #128107,anger
I'm so furious about the situation. #753391,anger
This is absolutely infuriating! #19673,anger
I'm disgusted by what I saw. #779751,disgust
"Unbelievable, but true! #8705",surprise
I'm bursting with happiness! #578293,joy
It's incredibly disturbing. #86882,disgust
Nothing seems to matter anymore. #115417,sadness
I feel empty inside. #326931,sadness
I miss the good times we had. #313519,sadness
I can't sleep because of the fear. #87858,fear
How could they do this to me? #671265,anger
I can't stop smiling. #460256,joy
I did not see that coming! #449150,surprise
Nothing seems to matter anymore. #179877,sadness
This is the best day of my life. #329441,joy
What a pleasant surprise! #461976,surprise
I can't believe this happened! #3761,anger
I'm so furious about the situation. #101332,anger
I feel empty inside. #226002,sadness
That totally caught me off guard. #727479,surprise
Tears keep falling from my eyes. #652531,sadness
I can't stop smiling. #882228,joy
I can't stop smiling. #709627,joy
I’m shocked and amazed! #385727,surprise
This is absolutely infuriating! #871685,anger
This is so gross I can't handle it. #854028,disgust
I’m shocked and amazed! #534087,surprise
That was utterly revolting. #529380,disgust
Tears keep falling from my eyes. #518691,sadness
I’m shocked and amazed! #632811,surprise
I can't sleep because of the fear. #177886,fear
I can't stop smiling. #199734,joy
I'm bursting with happiness! #198441,joy
Nothing seems to matter anymore. #641309,sadness
Life is beautiful and I'm enjoying every moment. #339023,joy
I can't sleep because of the fear. #346279,fear
This is the best day of my life. #873441,joy
I can't believe this happened! #444666,anger
That totally caught me off guard. #555034,surprise
I'm bursting with happiness! #946240,joy
This is absolutely infuriating! #397798,anger
How could they do this to me? #415592,anger
I feel sick just thinking about it. #460836,disgust
It's incredibly disturbing. #239600,disgust
I'm bursting with happiness! #296477,joy
I feel empty inside. #680699,sadness
That totally caught me off guard. #712149,surprise
I feel empty inside. #121645,sadness
This is the best day of my life. #867510,joy
I'm terrified of what might happen. #454878,fear
How could they do this to me? #976013,anger
How could they do this to me? #726790,anger
I can't sleep because of the fear. #139169,fear
I'm so thrilled about the news. #861129,joy
I'm so scared right now. #74041,fear
"Unbelievable, but true! #575193",surprise
"Unbelievable, but true! #655016",surprise
I can't sleep because of the fear. #857802,fear
This gives me chills down my spine. #10617,fear
I feel sick just thinking about it. #471162,disgust
I'm bursting with happiness! #289141,joy
"Unbelievable, but true! #527832",surprise
My heart aches with sorrow. #824190,sadness
I'm so scared right now. #382722,fear
I'm so scared right now. #506757,fear
I'm so furious about the situation. #850133,anger
I'm bursting with happiness! #452922,joy
That totally caught me off guard. #950466,surprise
I miss the good times we had. #939036,sadness
I feel empty inside. #771452,sadness
I can't sleep because of the fear. #13722,fear
I did not see that coming! #347110,surprise
I can't believe this happened! #374857,anger
I’m shocked and amazed! #636543,surprise
I'm terrified of what might happen. #460431,fear
It's incredibly disturbing. #662709,disgust
I can't sleep because of the fear. #84951,fear
I'm disgusted by what I saw. #199911,disgust
Every little sound makes me jump. #85919,fear
I'm so thrilled about the news. #329581,joy
I miss the good times we had. #418783,sadness
I'm so furious about the situation. #575381,anger
I miss the good times we had. #959548,sadness
This is the best day of my life. #726291,joy
I feel empty inside. #753594,sadness
I’m shocked and amazed! #104848,surprise
I’m shocked and amazed! #948922,surprise
It's incredibly disturbing. #117710,disgust
I'm bursting with happiness! #183386,joy
I'm so furious about the situation. #820836,anger
How could they do this to me? #864593,anger
Every little sound makes me jump. #639573,fear
I can't stop smiling. #5852,joy
This is absolutely infuriating! #311692,anger
Life is beautiful and I'm enjoying every moment. #868900,joy
I'm disgusted by what I saw. #933872,disgust
Nothing seems to matter anymore. #507297,sadness
It's incredibly disturbing. #397843,disgust
This makes my blood boil. #398399,anger
This is the best day of my life. #805476,joy
I feel sick just thinking about it. #180155,disgust
I'm so thrilled about the news. #430889,joy
I feel empty inside. #121829,sadness
Every little sound makes me jump. #682687,fear
I can't stop smiling. #587931,joy
How could they do this to me? #539807,anger
That totally caught me off guard. #226670,surprise
That totally caught me off guard. #272938,surprise
I did not see that coming! #940463,surprise
That totally caught me off guard. #833445,surprise
This is so gross I can't handle it. #554169,disgust
Tears keep falling from my eyes. #840168,sadness
That totally caught me off guard. #759287,surprise
I miss the good times we had. #667228,sadness
I miss the good times we had. #454845,sadness
I can't sleep because of the fear. #883967,fear
I can't stop smiling. #437403,joy
"Unbelievable, but true! #763280",surprise
I feel sick just thinking about it. #105491,disgust
This makes my blood boil. #965803,anger
This makes my blood boil. #935172,anger
How could they do this to me? #321164,anger
This gives me chills down my spine. #529991,fear
This makes my blood boil. #673085,anger
"Unbelievable, but true! #38706",surprise
That was utterly revolting. #178947,disgust
I feel empty inside. #171208,sadness
I'm so scared right now. #522569,fear
This is so gross I can't handle it. #108686,disgust
Nothing seems to matter anymore. #810973,sadness
I'm disgusted by what I saw. #970842,disgust
I can't stop smiling. #564215,joy
This is absolutely infuriating! #958283,anger
I can't believe this happened! #636827,anger
I'm so scared right now. #354401,fear
I feel empty inside. #387958,sadness
This gives me chills down my spine. #713199,fear
This gives me chills down my spine. #377394,fear
I miss the good times we had. #813759,sadness
My heart aches with sorrow. #756725,sadness
It's incredibly disturbing. #467099,disgust
I'm so furious about the situation. #428739,anger
I miss the good times we had. #425053,sadness
I feel sick just thinking about it. #69145,disgust
I'm so thrilled about the news. #250261,joy
I'm bursting with happiness! #392907,joy
This makes my blood boil. #306838,anger
I miss the good times we had. #981105,sadness
This gives me chills down my spine. #851155,fear
I'm bursting with happiness! #522603,joy
What a pleasant surprise! #204052,surprise
That was utterly revolting. #490675,disgust
I can't believe this happened! #488491,anger
That was utterly revolting. #444577,disgust
Tears keep falling from my eyes. #946457,sadness
Tears keep falling from my eyes. #343697,sadness
I'm so thrilled about the news. #339162,joy
What a pleasant surprise! #288939,surprise
